Ucode,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2
F130,20%,40%,20%,60%,20%,70%,90%,10%,10%,50%,60%,70%,40%,90%,20%,70%,80%,90%,10%,80%,10%,100%,90%,80%,80%,70%,50%,30%,10%,90%,80%,50%,20%,90%,70%,50%,30%,10%,60%,60%,60%,60%,90%,70%,70%,50%,80%,30%,90%,40%,60%,60%,10%,20%,20%,10%,0%,60%,60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F131,10%,30%,20%,50%,0%,0%,30%,70%,10%,40%,10%,90%,20%,90%,10%,80%,70%,10%,10%,10%,10%,100%,100%,100%,70%,50%,10%,10%,0%,100%,100%,80%,70%,100%,90%,80%,60%,0%,80%,80%,80%,90%,80%,80%,10%,20%,80%,20%,10%,20%,50%,40%,30%,10%,10%,0%,0%,10%,80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F132,80%,70%,30%,60%,20%,10%,60%,40%,50%,60%,70%,50%,70%,30%,30%,70%,70%,40%,40%,70%,80%,90%,80%,70%,60%,40%,20%,10%,0%,80%,70%,60%,50%,,,,,,60%,60%,,,80%,80%,70%,50%,80%,20%,30%,10%,60%,30%,20%,60%,40%,20%,10%,80%,80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F133,60%,80%,20%,70%,10%,40%,20%,,90%,80%,50%,80%,90%,70%,20%,50%,30%,80%,80%,60%,90%,90%,90%,70%,60%,30%,10%,10%,10%,80%,50%,20%,10%,90%,80%,70%,60%,50%,30%,,,,80%,60%,80%,50%,30%,60%,40%,80%,60%,30%,40%,30%,60%,40%,50%,20%,30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F134,80%,70%,30%,80%,10%,10%,10%,70%,10%,80%,70%,80%,90%,10%,40%,80%,80%,70%,70%,30%,40%,100%,80%,50%,40%,20%,20%,10%,0%,90%,70%,40%,20%,100%,40%,20%,0%,0%,90%,10%,10%,10%,60%,40%,20%,0%,90%,0%,30%,40%,80%,50%,10%,20%,10%,0%,0%,30%,30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F135,90%,90%,10%,90%,0%,10%,10%,80%,10%,10%,70%,10%,10%,0%,10%,40%,50%,60%,90%,50%,70%,100%,100%,100%,100%,100%,100%,100%,90%,100%,100%,100%,100%,100%,80%,60%,40%,20%,90%,30%,20%,40%,60%,20%,40%,20%,40%,60%,40%,40%,60%,40%,30%,10%,10%,0%,0%,20%,50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F136,10%,10%,0%,10%,0%,0%,10%,0%,10%,10%,10%,0%,10%,10%,0%,10%,10%,10%,10%,10%,0%,,,30%,,20%,10%,,0%,100%,100%,80%,60%,100%,100%,90%,80%,60%,10%,0%,10%,0%,10%,0%,10%,10%,10%,0%,10%,10%,10%,0%,0%,0%,0%,0%,0%,10%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F137,90%,90%,10%,90%,0%,10%,30%,70%,10%,20%,70%,80%,90%,90%,0%,20%,70%,40%,40%,70%,80%,100%,100%,70%,50%,30%,20%,10%,0%,100%,80%,40%,30%,100%,70%,30%,10%,0%,10%,20%,20%,20%,90%,30%,90%,60%,90%,10%,30%,70%,80%,30%,10%,10%,10%,0%,10%,60%,10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F138,90%,10%,20%,80%,0%,0%,20%,40%,10%,10%,60%,80%,10%,0%,30%,70%,20%,30%,60%,50%,60%,,,,70%,,,,,,,,70%,,,,,,70%,,,,70%,70%,40%,40%,60%,40%,60%,,,,,10%,0%,,0%,20%,30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F139,70%,80%,50%,60%,50%,80%,60%,50%,60%,60%,80%,80%,70%,10%,90%,70%,60%,40%,70%,60%,70%,60%,50%,50%,50%,50%,50%,50%,50%,40%,50%,70%,80%,20%,30%,40%,50%,60%,90%,70%,60%,60%,50%,60%,70%,70%,60%,60%,40%,30%,60%,70%,70%,40%,70%,60%,70%,60%,30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
